place_id,name,Latitude,Longitude,address,rating,search_zone,types
ChIJdbKOzI89rjsRUJ1KTyYuO9E,Health & Glow - Rajajinagar,12.9963181,77.5515232,"156, ground floor Ward, Plot no, 15, 19th Main Rd, 2nd Block, Rajajinagar, Bengaluru, Karnataka 560003, India",4.7,Majestic/City Market,point_of_interest;store;establishment
ChIJk1ay6CMVrjsRAq28X3RfM38,Health & Glow - Vegacity Mall,12.9073448,77.6011082,"Unit No.LK.02, ,Lower Ground Floor No.172/2, Srinivasa Industrial Estate, Bannerghatta Rd, Dollar Layout, BTM 2nd Stage, BTM Layout, Bengaluru, Karnataka 560076, India",4.7,Sarjapur Main,store;point_of_interest;establishment
ChIJs1SvuN09rjsR1KD3b8x6ch8,Health & Glow - Vijayanagar,12.971357,77.5372694,"Metro Station, 45, 17th Cross Rd, opposite to Vijaynagar, Govindaraja Nagar Ward, MC Layout, Vijayanagar, Bengaluru, Karnataka 560040, India",4.7,Majestic/City Market,point_of_interest;store;establishment
ChIJqzTFiTwVrjsRa4I5MZj6mYQ,Health & Glow - Vijiya Bank Colony,12.89563,77.6110852,"Shop No 9, 11 and 14, South, near Sana Super Market, Kutappa Garden, Vijaya Bank Layout, Bilekahalli, Bengaluru, Karnataka 560078, India",4.7,Majestic/City Market,point_of_interest;store;establishment
ChIJSSEgt3dY4joRl09nFVzrr6c,Health And Glow Pharmacy,6.9821606,79.8879177,"233 New Negombo Road, Wattala 11300, Sri Lanka",4.7,Majestic/City Market,pharmacy;health;point_of_interest;store;establishment
ChIJH5IXGoEVrjsRUwIGnqN0ucA,Health & Glow - Banashankari,12.9244303,77.5654033,"Shop No 645, 18th Main Road, 24th Cross Road, South, near BDA Shopping Complex, opposite to Devagiri Hospital, Banashankari Stage II, Bengaluru, Karnataka 560070, India",4.6,Majestic/City Market,point_of_interest;store;establishment
ChIJ080Tr_0UrjsR_ewM9FtAzSU,Health & Glow - BTM Layout,12.9147949,77.609977,"No 780, MICO employee gruha nirmana sangha layout, BTM Layout, Bengaluru, Karnataka 560076, India",4.6,MG Road/Brigade Road,store;point_of_interest;establishment
ChIJRw9n3Hk-rjsRTMKm9od6tpg,Health & Glow - Chandra Layout,12.9600434,77.5270983,"Block No 42, 348/1, HBCS Layout, 7th Main, BMTC Depot Road, West, next to Karur Vysya Bank, Chandra Layout, Bengaluru, Karnataka 560040, India",4.6,Majestic/City Market,point_of_interest;store;establishment
ChIJaVb5I6UVrjsR2qAjffAD__Q,Health & Glow - Jayanagar 3rd Block,12.9322212,77.5840676,"Shop No 233, Ground Floor, Manandi Towers, 9th Main Road Jayanagar 3rd Block, opposite to Bhavani Khangan, South, Bengaluru, Karnataka 560011, India",4.6,Majestic/City Market,point_of_interest;store;establishment
ChIJ-8q3gigWrjsR9TUm5ahYyYQ,Health & Glow - Malleshwaram,13.0038419,77.5711421,"Plot No 218, Ward 5, 2nd Main Road, Sampige Road, North, near Raymond Shop, Malleshwaram, Bengaluru, Karnataka 560003, India",4.6,Majestic/City Market,point_of_interest;store;establishment
ChIJIVF3F2I9rjsRITrCS8SEoug,Health & Glow - MS Ramaiah Road,13.0280949,77.572283,"Shop No 62/1 Ground Floor, Ward Number 99, MS Ramaiah Road Aramane Nagar, South, opposite to Max Showroom, Devasandra Layout, Bengaluru, Karnataka 560078, India",4.6,MG Road/Brigade Road,point_of_interest;store;establishment
ChIJy4VsSosPrjsRrFpshvCEWG8,Health & Glow - Orion Uptown Mall,13.055257,77.7638899,"Plot No 114, First Floor, Orion Uptown Mall, Huskur Village Bidarhalli Hobli, North, near Hoskote Toll Plaza, Bengaluru, Karnataka 560049, India",4.6,Whitefield,point_of_interest;store;establishment
ChIJ7X_gWs1qrjsRPnnfij1vryY,Health & Glow - Royal Meenakshi Mall,12.8757994,77.5960108,"Shop No 04, Ground Floor, Royal Meenakshi Mall, North, opposite to Mantri Dsk Pinnacle, Hulimavu, Bengaluru, Karnataka 560079, India",4.6,Sarjapur Main,store;point_of_interest;establishment
ChIJxyCmtIgXrjsR2H-5jgxmfQM,Health & Glow - RT Nagar New,13.0199662,77.5925721,"10th Main Road, RT Nagar Opposite to HDFC Bank, Bengaluru North, Karnataka 560032, India",4.6,Commercial Street,store;point_of_interest;establishment
ChIJQbzh0xMTrjsR0DQi72U9VTc,Health & Glow - Sarjapur,12.9118279,77.681838,"Shop No, Mgr Complex, 71/2, Sarjapur - Marathahalli Rd, next to Pizza Hut, Kaikondanaalli, Bengaluru, Karnataka 560035, India",4.6,Sarjapur Main,store;point_of_interest;establishment
ChIJlyoGkpc9rjsRR45ZxV_Ldfw,Health & Glow - Basaveshwarnagar,12.9984979,77.5409169,"Plot No 70, Ground Floor, 1st cross, Siddhaiah Puranik Rd, opposite Canara Bank, Basaveshwar Nagar, Bengaluru, Karnataka 560079, India",4.5,Majestic/City Market,point_of_interest;store;establishment
ChIJr08eu3g9rjsRBukjeb_Bt8c,Health & Glow - Brigade Orion Mall,13.0113412,77.55469,"Ward No, 26/1, Shop No 114, First Floor, Brigade Orion Mall, Municipal No 26, 9/A, North, next to Manyavar, Subramanyanagar,2 State, Rajajinagar, Bengaluru, Karnataka 560054, India",4.5,Majestic/City Market,point_of_interest;store;establishment
ChIJZWhzKjYRrjsR46ckSBIkSYo,Health & Glow - Gopalan Signature Mall,12.9929276,77.6615764,"Shop No 6, Ground Floor, Gopalan Signature Mall Swami Vivekananda Road, North, opposite to RMZ, Rahat Bagh, Nagavarapalya, Bengaluru, Karnataka 560038, India",4.5,Banaswadi,store;point_of_interest;establishment
ChIJ0ZKAky4XrjsRu0q6K46dtJw,Health & Glow - Indiranagar,12.97022,77.6402176,"Shop No 956, 12th Main Road, HAL Second Stage, next to Lakmé Salon, Sodepur, Appareddipalya, Indiranagar, Bengaluru, Karnataka 560038, India",4.5,Commercial Street,store;point_of_interest;establishment
ChIJf_SC40YVrjsR5H1xpP_X9E8,Health & Glow - Puttenahalli,12.8911959,77.5816812,"Plot No 536, RBI Layout, Puttenahalli Road Kothanur, South, opposite to Brigade Millenial Appartments, Bengaluru, Karnataka 560076, India",4.5,Sarjapur Main,store;point_of_interest;establishment
